YS,SF1,SFDM1,SFZM1,SF2,SFDM2,SFZM2,SF3,SFDM3,SFZM3,ZYZ1,ZYZDM1,ZYZZM1,ZYZ2,ZYZDM2,ZYZZM2,ZYZ3,ZYZDM3,ZYZZM3,YQ1,YQDM1,YQZM1,YQ2,YQDM2,YQZM2,YQ3,YQDM3,YQZM3
四方块磨砂,中江P9153,0.9,1.2,,,,,,,吉荣H1296,6,8,,,,,,,,,,,,,,,
西雅图磨砂,中江P0075S,0.5,0.8,,,,,,,吉荣H1931,6,8,,,,,,,,,,,,,,,
浅咖啡色,中江EP4100,0.6,0.9,,,,,,,吉荣H1560-2,6,8,,,,,,,水性漆4分光,0.35,0.55,,,,,,
浅咖啡色（偏黄）,创BG3545,0.6,0.9,,,,,,,吉荣H1560-3B,6,8,,,,,,,水性漆4分光,0.35,0.55,,,,,,
志在四方磨砂,共成PSW35478,0.5,0.8,,,,,,,吉荣H1807-3,6,8,,,,,,,,,,,,,,,
四方之志磨砂,华荣8181,0.5,0.8,,,,,,,照川61520,6,8,,,,,,,,,,,,,,,
美满磨砂,华荣8181,0.5,0.8,,,,,,,照川Z61306-1,6,8,,,,,,,,,,,,,,,
京京磨砂,中江P0048S,0.9,1.2,,,,,,,照川Z61209,6,8,,,,,,,,,,,,,,,
诚品磨砂,中江P8989S,0.7,1.1,,,,,,,吉荣H1823,6,8,,,,,,,,,,,,,,,
星光磨砂,华荣8181,0.5,0.8,华荣T2831,0.2,0.3,,,,照川Z61801,4,6,,,,,,,,,,,,,,,
辰光磨砂,中江P1381S,0.6,0.9,华荣T2831,0.2,0.3,,,,照川Z61028-3,4,6,,,,,,,,,,,,,,,
赫拉磨砂,中江P0199S,1.1,1.4,华荣T2832,0.2,0.3,,,,吉荣1848,4,6,,,,,,,,,,,,,,,
星际磨砂,华荣8181,0.5,0.8,华荣T2832,0.2,0.3,,,,照川Z61302-5,4,6,,,,,,,,,,,,,,,
阿波罗磨砂,中江P1381S,0.6,0.9,华荣T2831,0.2,0.3,,,,长盛9602-1A,4,6,,,,,,,,,,,,,,,
磨砂金橡木,中江P9153,0.9,1.2,,,,,,,力源9239,6,8,,,,,,,,,,,,,,,
艺术真铜红铜,中江EP1062-7,0.6,1.1,,,,,,,,,,,,,,,,波诗明GB-9070,1,1.3,格力丝C-4907H,0.35,0.55,面漆GD-100F30,0.35,0.55
颐和门色,中江EP4100,0.6,0.9,,,,,,,吉荣09176-1,6,8,,,,,,,水性漆4分光,0.35,0.55,,,,,,
新三方色,创基B6018,0.6,0.9,,,,,,,吉荣H09165-10,6,8,,,,,,,水性漆4分光,0.35,0.55,,,,,,
颐家门色,中江EP1021,0.5,0.7,,,,,,,国盛1033-6,4,6,国盛301-1,1,1,国盛1097-1,1,1,水性漆4分光,0.35,0.55,,,,,,
红拼木转印,中江EP1021,0.5,0.7,,,,,,,吉荣0328-21,6,8,,,,,,,水性漆4分光,0.35,0.55,,,,,,
红橡木转印,华荣E3449,0.6,0.9,,,,,,,照川Z61018-1,6,8,,,,,,,水性漆4分光,0.35,0.55,,,,,,
榆木转印,中江EP0045,0.5,0.8,,,,,,,锦彩8003Y-2,6,8,,,,,,,水性漆4分光,0.35,0.55,,,,,,
红柳木,中江EP0045,0.5,0.8,,,,,,,吉荣H10182-5,6,8,,,,,,,水性漆4分光,0.35,0.55,,,,,,
炭烧木,中江EP0045,0.5,0.8,,,,,,,锦彩HD8036-2,6,8,,,,,,,水性漆4分光,0.35,0.55,,,,,,
炭烧木磨砂,中江0106S-8,0.9,1.2,,,,,,,锦彩5HD8076-1,6,8,,,,,,,,,,,,,,,
黄金线磨砂,中江P0077S,0.5,0.8,,,,,,,锦彩4HD8055,2,2,锦彩3D8088-1,4,6,,,,,,,,,,,,
真铜紫铜,中江EP1062-7,0.9,1.2,,,,,,,,,,,,,,,,波诗明GD-9091,1.2,1.4,格力丝C-3327H,0.3,0.5,面漆GD-100F30,0.3,0.5
橡木,中江EP0045,0.5,0.8,,,,,,,吉荣H09167-1,6,8,,,,,,,水性漆4分光,0.35,0.55,,,,,,
颐家紫檀,中江EP4100,0.6,0.9,,,,,,,锦彩4HD8036-3,6,8,,,,,,,水性漆4分光,0.35,0.55,,,,,,
红檀,中江EP0045,0.5,0.8,,,,,,,照川Z61553-1,6,8,,,,,,,水性漆4分光,0.35,0.55,,,,,,
核桃木,华荣E3408,0.6,0.9,,,,,,,吉荣H1221-2,6,8,,,,,,,水性漆4分光,0.35,0.55,,,,,,
三宝门套色,中江EP1021,0.55,0.7,,,,,,,国盛308-9,4,6,国盛0801-1,2,2,,,,水性漆4分光,0.35,0.55,,,,,,
楸木,中江EP1021,0.55,0.7,,,,,,,国盛308-9,6,8,,,,,,,水性漆4分光,0.35,0.55,,,,,,
前程似锦套色,中江EP1021,0.55,0.7,,,,,,,国盛308-9,4,6,国盛0801-1,2,2,,,,水性漆4分光,0.35,0.55,,,,,,
高仿真木纹,创基BG3545,0.6,0.9,,,,,,,欧码6051-1,6,8,,,,,,,水性漆4分光,0.35,0.55,,,,,,
苹果木,中江P0080-5,0.6,0.9,,,,,,,吉荣H1337-1,6,8,,,,,,,水性漆4分光,0.35,0.55,,,,,,
桑木色,中江P0080-5,0.6,0.9,,,,,,,锦彩4HD6061,6,8,,,,,,,水性漆4分光,0.35,0.55,,,,,,
樱桃木,华荣E3449,0.6,0.9,,,,,,,佳泰PS1580-2,6,8,,,,,,,水性漆4分光,0.35,0.55,,,,,,
镀黄铜,喜泽荣E3520-1,0.6,1.1,,,,,,,,,,,,,,,,华荣镀黄铜3#,0.8,1.2,原铜拉丝灰,0.3,0.5,耐黄变30度,0.35,0.55
山核木,华荣8181,0.5,0.8,,,,,,,吉荣1221-1,6,8,,,,,,,,,,,,,,,
平光白,LG01712,0.9,1.4,,,,,,,,,,,,,,,,,,,,,,,,
蓝灰锤纹,华荣T7604,0.9,1.4,,,,,,,,,,,,,,,,,,,,,,,,
白灰,共成PYG29940,0.9,1.4,,,,,,,,,,,,,,,,,,,,,,,,
平光米黄,共成PYG06105,0.9,1.4,,,,,,,,,,,,,,,,,,,,,,,,
黑胡桃,创B6013,0.5,0.7,,,,,,,国盛1021-22,6,8,,,,,,,水性漆4分光,0.35,0.55,,,,,,
红胡桃,中江EP1021,0.5,0.7,,,,,,,国盛1021-22,6,8,,,,,,,水性漆4分光,0.35,0.55,,,,,,
黑拼木,创B6013,0.5,0.7,,,,,,,吉荣0328,6,8,,,,,,,水性漆4分光,0.35,0.55,,,,,,
至友磨砂,中江P0048S,0.8,1.1,,,,,,,佳泰PS1580-2,6,8,,,,,,,,,,,,,,,
伊朗指定磨砂,中江6014S,0.9,1.2,,,,,,,吉荣10181,6,8,,,,,,,,,,,,,,,
伊朗定制,创基BG6014,0.6,0.9,,,,,,,吉荣10181,6,8,,,,,,,水性漆4分光,0.35,0.55,,,,,,
黄柚木磨砂,中江P4243S-8,0.9,1.2,,,,,,,吉荣H1561-1,6,8,,,,,,,,,,,,,,,
羊城檀木,中江EP1021,0.5,0.7,,,,,,,吉荣H0331-9,4,6,吉荣10181-13,2,2,,,,水性漆4分光,0.35,0.55,,,,,,
黑底金花,共成PJW9565,0.7,1.1,,,,,,,,,,,,,,,,,,,,,,,,
维纳斯磨砂,华荣E5115,0.6,0.9,华荣T2831,0.2,0.3,,,,长盛FD011-1A,4,6,,,,,,,,,,,,,,,
柏拉图磨砂,圣联7168,0.6,0.9,华荣T2832,0.2,0.3,,,,照川Z61055-2,4,6,,,,,,,,,,,,,,,
凯撒磨砂,华荣8181,0.5,0.8,华荣T2831,0.2,0.3,,,,照川Z61823,4,6,,,,,,,,,,,,,,,
宙斯磨砂,华荣E5115,0.6,0.9,华荣T2831,0.2,0.3,,,,照川Z61523,4,6,,,,,,,,,,,,,,,
苹果木磨砂,中江P0077S,0.5,0.8,,,,,,,吉荣H1337-1,6,8,,,,,,,,,,,,,,,
牛牛花开富贵磨砂,共成PSW35478,0.5,0.8,,,,,,,照川Z61520,6,8,,,,,,,,,,,,,,,
磨砂拼接305,中江P0075S,0.5,0.8,,,,,,,锦彩8003Y,6,8,,,,,,,,,,,,,,,
黑棉锦纹,共成PZW8999,0.9,1.4,,,,,,,,,,,,,,,,,,,,,,,,
御银双色,共成PZW8999,0.6,1.1,华荣E5115,0.3,0.4,,,,吉荣H16037,2,3,吉荣白纸,2,3,,,,,,,,,,,,
海天一色,中江P0199S,1.2,1.7,,,,,,,吉荣H1848,4,6,吉荣1834-6,3,4,,,,,,,,,,,,
盼宏色,中江EP0275,0.5,0.8,,,,,,,照川61562-2,7,10,,,,,,,水性漆4分光,0.35,0.55,,,,,,
瓜山色,中江P1386S,0.9,1.2,,,,,,,长盛9106-13A,6,8,,,,,,,,,,,,,,,
黑灰磨砂,中江P2293S,0.9,1.2,,,,,,,鑫尚彩AD992-3B,6,8,,,,,,,,,,,,,,,
家创色,中江P0199S,0.5,0.7,华荣E5115,0.4,0.6,中江P7305S,0.4,0.5,照川61620-2,2,3,照川61909,2,3,,,,,,,,,,,,
家锦1号色,中江P2402S,1.1,1.4,华荣T2831,0.4,0.5,,,,佳泰4K9037-5,4,6,,,,,,,,,,,,,,,
家鸿色,华荣E7853,0.6,0.8,中江P7305S,0.3,0.4,,,,,,,,,,,,,,,,,,,,,
家佑色,中江P2336S,1,1.3,华荣T2832,0.5,0.6,,,,照川61055-2,4,6,,,,,,,,,,,,,,,
家福双色,中江P0199S,1,1.3,中江P7305S,0.6,0.7,,,,吉荣1834-6,4,6,,,,,,,,,,,,,,,
暖白磨砂,华荣E5115,0.9,1.2,,,,,,,锦彩8060Y-4,6,8,,,,,,,,,,,,,,,
家旺色,中江P2336S,1,1.3,中江P7305S,0.4,0.4,,,,鑫尚彩AD992-3,4,6,,,,,,,,,,,,,,,
红柚木,共成PYG4525,0.6,1,,,,,,,吉荣H16052,7,9,,,,,,,水性漆4分光,0.35,0.55,,,,,,
家禄色,中江P0075S,0.3,0.4,中江P1381S,0.3,0.4,中江P7305S,0.6,0.7,锦彩6166Y-1,2,3,照川Z61028-3,2,3,,,,,,,,,,,,
家禄升级色,中江P0077S,0.3,0.4,中江P9616S,0.3,0.4,中江P7305S,0.6,0.7,锦彩6166Y-1,2,3,鑫尚彩AD993-1,2,3,,,,,,,,,,,,
家穆色,中江P9616S,0.3,0.4,华荣T2831,0.2,0.3,,,,照川61909,2,3,,,,,,,,,,,,,,,
牛牛牛津门色,中江P0048S,0.9,1.1,,,,,,,长盛9155A,2,3,照川Z61209,5,6,,,,,,,,,,,,
天祥苑色,创基6013,0.6,0.9,,,,,,,吉荣H09167-1,6,8,,,,,,,水性漆4分光,0.35,0.55,,,,,,
曲线磨砂,中江P0077S,0.5,0.8,华荣T2831,0.2,0.3,,,,锦彩HD8135-8,4,6,,,,,,,,,,,,,,,
磨砂白,中江P9626S,1.1,1.6,,,,,,,,,,,,,,,,,,,,,,,,
峡山乐港花园色,创基B2067,0.9,1.4,,,,,,,,,,,,,,,,,,,,,,,,
细黑砂喷塑,共成PSW95210,0.6,0.9,,,,,,,,,,,,,,,,,,,,,,,,
仿紫铜,喜泽荣E3520-1,0.6,0.9,,,,,,,,,,,,,,,,典雅A08,0.6,0.8,耐黄变20度,0.3,0.5,电镀灰3#,0.3,0.5
鹅黄,创基D1025,0.9,1.4,,,,,,,,,,,,,,,,,,,,,,,,
牛气冲天转印,华荣E3521,0.6,0.9,,,,,,,长盛9236A,6,8,,,,,,,水性漆4分光,0.35,0.55,,,,,,
棕砂喷塑,中江P9109,0.9,1.4,,,,,,,,,,,,,,,,,,,,,,,,
深邃蓝,中江P9221,0.8,1.2,,,,,,,,,,,,,,,,,,,,,,,,
天圆地方色,中江EP0045,0.5,0.8,,,,,,,吉荣07145,6,8,,,,,,,水性漆4分光,0.35,0.55,,,,,,
尤哥款磨砂,共成PSW35478,0.5,0.8,,,,,,,锦彩8018Y,6,8,,,,,,,,,,,,,,,
真铜黑铜,喜泽荣E3520-1,0.6,1.1,,,,,,,,,,,,,,,,喜泽荣典雅5#,1,1.3,耐黄变20度,0.35,0.55,电镀灰,0.3,0.5
宝通陆号色,中江EP9530,0.9,1.4,,,,,,,,,,,,,,,,,,,,,,,,
灰亚光,创基BG2877,0.7,1.1,,,,,,,,,,,,,,,,,,,,,,,,
黄黑双色磨砂,中江P0077S,0.5,0.8,,,,,,,吉荣H1337-1,4,6,吉荣黑纸,2,2,,,,,,,,,,,,
墨黑转印,中江6014S,0.6,0.9,,,,,,,照川61055-2,6,8,,,,,,,水性漆4分光,0.35,0.55,,,,,,
京木双色磨砂,共成PSW35478,0.5,0.8,,,,,,,吉荣H05102-8,2,3,照川Z61209,4,6,,,,,,,,,,,,
铅灰,共成PJW28005,1,1.5,,,,,,,,,,,,,,,,,,,,,,,,
橙木磨砂,共成PSW35478,0.5,0.8,,,,,,,吉荣H11193A-27,4,6,吉荣黑纸,2,2,,,,,,,,,,,,
乌柏色,中江P0077S,0.3,0.4,华荣T2832,0.2,0.3,,,,照川62065,4,6,,,,,,,,,,,,,,,
花木磨砂,共成PSW35478,0.5,0.8,,,,,,,吉荣H11193A-27,4,6,吉荣H05102-8,2,3,,,,,,,,,,,,
红黑拼接,中江EP4100,0.6,0.9,,,,,,,吉荣H0328-37,6,8,,,,,,,水性漆4分光,0.35,0.55,,,,,,
水泥灰,中江P1009,0.9,1.1,,,,,,,,,,,,,,,,,,,,,,,,
精雕仿红铜,喜泽荣E3520-1,0.6,1.1,,,,,,,,,,,,,,,,真铜A05镀兰,1,1.3,耐黄变20度,0.35,0.55,,,
集益FD91色,华荣E3541,0.6,1.1,中江P7305S,0.2,0.3,,,,,,,,,,,,,真铜9005,1,1.3,耐黄变20度,0.35,0.55,,,
太阳神磨砂,圣联1143,0.5,0.7,华荣T2832,0.2,0.3,,,,照川61518-1,4,6,,,,,,,,,,,,,,,
尊享仿紫铜,喜泽荣E3520-1,0.6,1.1,,,,,,,,,,,,,,,,菲尔特真铜3号,1,1.3,电镀灰3号,,,耐黄变20度,0.35,0.55
乌京木磨砂,共成PSW35478,0.5,0.8,,,,,,,照川Z61209,4,6,照川Z61087,3,3,,,,,,,,,,,,
599色,共成PYG2900,0.7,0.9,中江P7305S,0.3,0.4,,,,,,,,,,,,,,,,,,,,,
尊贵红,中江4016,0.9,1.2,,,,,,,吉荣H16052,6,8,,,,,,,水性漆4分光,0.35,0.55,,,,,,
橘黄磨砂,中江1386S,0.9,1.2,,,,,,,长盛9198T-3A,6,8,,,,,,,,,,,,,,,
雪白桔纹,中江EP9215,1.4,1.9,,,,,,,,,,,,,,,,,,,,,,,,
红花梨,中江P0106S,0.7,0.9,,,,,,,照川61520-8,6,8,,,,,,,,,,,,,,,
丘比特转印,中江1021,0.5,0.9,,,,,,,吉荣H5345,6,8,,,,,,,水性漆4分光,0.35,0.55,,,,,,
梨黑喷塑,中江P9906喷塑,0.9,1.4,,,,,,,,,,,,,,,,,,,,,,,,
意大利柚木,中江EP4100,0.6,0.9 ,,,,,,,吉荣H09165-13,6,8,,,,,,,水性漆4分光,0.35,0.55,,,,,,
星辰色,华荣8181,0.5,0.8 ,,,,,,,照川Z61801,6,8,,,,,,,,,,,,,,,
苏布套色,中江EP1021,0.5,0.7 ,,,,,,,吉荣H0331-9,2,2,锦彩8003Y-2,4,6,,,,水性漆4分光,0.35,0.55,,,,,,
撒哈拉套色,中江P0077S,0.5,0.8 ,,,,,,,吉荣10181,4,6,吉荣花樟木-2,2,4,,,,,,,,,,,,
咖啡金砂,华荣T2831,0.9,1.4 ,,,,,,,,,,,,,,,,,,,,,,,,
尚品色,中江P8989S,0.6,0.9 ,,,,,,,照川Z61328-3,7,9,,,,,,,,,,,,,,,
家福整版色,中江P0199S,0.8,1.1 ,中江P7305S,0.5,0.6,,,,吉荣1834-6,4,6,,,,,,,,,,,,,,,
灰砂闪银,创基PS2927-3Y,,,,,,,,,,,,,,,,,,,,,,,,,,
YJ-1781仿铜,喜泽荣24062904,0.6,0.9 ,,,,,,,,,,,,,,,,电镀灰,0.7,1,耐黄变20度,0.33,0.55,,,
YJ-149仿铜,中江6653,0.6,0.9 ,,,,,,,,,,,,,,,,电镀蓝,0.7,1,耐黄变20度,0.33,0.55,,,
曼洛磨砂,中江P0077S,0.5,0.8 ,,,,,,,照川61020-1,6,8,,,,,,,,,,,,,,,
黑颤木色,中江P0201S,0.6,0.9 ,,,,,,,吉荣10181,6,8,,,,,,,,,,,,,,,
顶天立地磨砂,中江P0048S,0.6,0.9 ,,,,,,,长盛99905A,6,8,,,,,,,,,,,,,,,
黑丝木,中江P9153S,0.6,0.9 ,,,,,,,锦彩8201Y-2,6,8,,,,,,,,,,,,,,,
深灰喷塑,创基D2051,0.9,1.4 ,,,,,,,,,,,,,,,,,,,,,,,,
紫红喷塑,创基EP8039,0.9,1.4 ,,,,,,,,,,,,,,,,,,,,,,,,
银灰磨砂,昊润HTS8072,0.5,0.7 ,共成PSW04573,0.9,1.4,,,,吉荣1834-6,4,6,,,,,,,,,,,,,,,
黑灰喷塑,中江P2376S,0.4,0.4 ,中江P7233S,0.9,1.4,,,,,,,,,,,,,,,,,,,,,
群升高2480色,中江EP4100,0.6,0.9 ,,,,,,,吉荣H1618-5,4,6,吉荣H06121,2,2,,,,水性漆4分光,0.35,0.55,,,,,,
家旺拼色,中江P2336S,0.6,0.9 ,共成PSW95210,0.4,0.5,,,,鑫尚彩AD992-3,4,6,,,,,,,,,,,,,,,
棕黄木磨砂,中江P4359S,0.5,0.6 ,中江P0106S,0.6,0.9,,,,力源9939,4,6,,,,,,,,,,,,,,,
蓝木磨砂,中江P6284S,0.5,0.6 ,中江P0106S,0.6,0.9,,,,照川61302-5,4,6,,,,,,,,,,,,,,,
富丽红,华荣E3408,0.6,0.9 ,,,,,,,吉荣H16042,7,9,,,,,,,水性漆4分光,0.35,0.55,,,,,,
斑驳灰,圣联7120-1,0.9,1.1 ,,,,,,,照川62065-1,7,9,,,,,,,,,,,,,,,
清泰色,创基BG3766,0.6,0.9 ,,,,,,,佳泰4K9010,6,8,,,,,,,水性漆4分光,0.35,0.55,,,,,,
家凯色,中江PS32185,0.6,0.9 ,中江P7305S,0.4,0.5,,,,锦彩HD8208,4,6,,,,,,,,,,,,,,,
米白,中江EP9010,1 ,1.4 ,,,,,,,,,,,,,,,,,,,,,,,,
WH1色,中江P0077S,0.5 ,0.8 ,中江P7305S,0.2,0.3,,,,吉荣H09172,2,3,吉荣H16060-1,4,6,,,,,,,,,,,,
出类拔萃磨砂,中江P0048S,0.6 ,0.9 ,,,,,,,锦彩HD8082,6,8,,,,,,,,,,,,,,,
春花双色,共成PZW8999,1.4 ,1.9 ,共成PSW35478,0.4,0.6,,,,照川Z61067-1,4,6,,,,,,,,,,,,,,,
灰白磨砂,共成PSW28124,0.5 ,0.7 ,门架锁边中江P2322S,0.5,0.7,,,,照川61926-1,4,6,,,,,,,,,,,,,,,
家盛色,中江EP1062-7,0.7 ,0.9 ,,,,,,,,,,,,,,,,真铜A07,1,1.2,电镀银灰,0.35,0.55,耐黄变20度,0.35,0.55
JC紫磨砂,华荣E5115,0.9 ,1.2 ,,,,,,,吉荣428-黑A,6,8,,,,,,,,,,,,,,,
橡木磨砂,华荣E5115,0.9 ,1.2 ,,,,,,,吉荣H16037,6,8,,,,,,,,,,,,,,,
三五色,中江P0077S,0.5 ,0.8 ,,,,,,,吉荣H16060-1,4,6,锦彩HD8112-1,3,4,,,,,,,,,,,,
镀银铜,喜泽荣E3520-1,0.6 ,1.1 ,,,,,,,,,,,,,,,,凌灰9012,1,1.2,耐黄变20度,0.35,0.55,,,
岩纹喷塑,中江P7305S,0.5 ,0.6 ,昊润HTS8071,0.7,1.1,,,,,,,,,,,,,,,,,,,,,
黄浦色,华荣8181,0.5 ,0.8 ,,,,,,,锦彩HD8112-1,6,8,,,,,,,,,,,,,,,
家丽色,中江P7200S,0.2 ,0.2 ,中江P2322S-5,0.5,0.7,中江P7305S,0.5,0.6,,,,,,,,,,,,,,,,,,
大一方磨砂,共成PSW35478,0.5 ,0.8 ,,,,,,,照川61807-2,6,8,,,,,,,,,,,,,,,
俄罗斯磨砂,共成PSW35478,0.5 ,0.8 ,,,,,,,鑫尚彩AD970-2,6,8,,,,,,,,,,,,,,,
金凯色,中江PS1696,0.6 ,0.9 ,华荣T2831,0.4,0.5,,,,锦彩HD8158-3,7,9,,,,,,,,,,,,,,,
深中灰喷塑,中江P2322S-5,0.8 ,1.3 ,,,,,,,,,,,,,,,,,,,,,,,,
1834竖转,中江P0199S,0.8 ,1.1 ,,,,,,,吉荣1834-6,7,9,,,,,,,,,,,,,,,
家艺双色,华荣E5115,0.3 ,0.4 ,中江P2322S,0.5,0.7,,,,吉荣H16037,2,3,,,,,,,,,,,,,,,
阳光镀黄铜,喜泽荣E3520-1,0.5 ,0.8 ,,,,,,,,,,,,,,,,典雅镀黄铜,0.7,1.1,电镀灰3号,0.33,0.55,耐黄变20度,0.35,0.55
成木竖纹,昊润HTS1051,0.7 ,0.9 ,,,,,,,力源9806-2,6,8,,,,,,,,,,,,,,,
黄日磨砂,创基3559,0.7 ,0.9 ,,,,,,,锦彩4HD8052-2,4,6,锦彩4HD8055,3,4,,,,,,,,,,,,
紫铜6号,喜泽荣E3520-1,0.6 ,0.9 ,,,,,,,,,,,,,,,,真铜C06,1,1.2,电镀灰3号,0.33,0.55,耐黄变30度,0.33,0.55
真铜5号,喜泽荣E3520-1,0.6 ,0.9 ,,,,,,,,,,,,,,,,真铜C05,1,1.2,电镀镍蓝,0.33,0.55,耐黄变30度,0.33,0.55
虹尚色,中江P0048S,0.6 ,0.9 ,,,,,,,照川61711-1,7,9,,,,,,,,,,,,,,,
岩纹色,昊润HTS8085,1.4 ,1.9 ,中江P7305S,0.6,0.7,,,,照川62055-1,2,3,照川61909,2,3,,,,,,,,,,,,
珍珠灰,中江PJD62596,1.1 ,1.5 ,,,,,,,,,,,,,,,,,,,,,,,,
生中色,中江P0077S,0.5 ,0.8 ,,,,,,,锦彩HD8112-1,6,8,,,,,,,,,,,,,,,
7233,中江P7233S,0.9 ,1.4,,,,,,,,,,,,,,,,,,,,,,,,
冰凌木纹,昊润HTS8080,1.1 ,1.4,中江P7305S,0.5,0.6,,,,,,,,,,,,,,,,,,,,,
大理石纹,昊润HTS8079,0.9 ,1.1,中江P7305S,0.5,0.6,,,,吉荣H1835-1,4,6,,,,,,,,,,,,,,,
1901色,中江P0199S,1.1 ,1.4,华荣T2832,0.2,0.3,,,,吉荣H1848,4,6,,,,,,,,,,,,,,,
柠檬黄,昊润HTG3059,0.6 ,0.9 ,,,,,,,佳泰PS1411-11,6,8,,,,,,,水性漆4分光,0.33,0.55,,,,,,
绯红,创基PB6756,0.6 ,0.9 ,,,,,,,佳泰PS1411-10,6,8,,,,,,,水性漆4分光,0.33,0.55,,,,,,
紫铜喷户外粉,喜泽荣E3520-1,0.6 ,0.9 ,,,,,,,,,,,,,,,,真铜A06,1,1.2,电镀灰,0.33,0.55,耐黄变20度,0.33,0.55
白枫,创基S1198,0.9 ,1.4 ,,,,,,,,,,,,,,,,,,,,,,,,
鸿升1号色,中江EP0045,0.5 ,0.8 ,,,,,,,吉荣10181,6,8,,,,,,,水性漆4分光,0.33,0.55,,,,,,
鸿升2号色,中江1068-1,0.7 ,1.0 ,,,,,,,照川Z61229-5,6,8,,,,,,,水性漆4分光,0.33,0.55,,,,,,
鸿升3号色,中江0098-8,0.6 ,0.9 ,,,,,,,吉荣H1221-11,6,8,,,,,,,水性漆4分光,0.33,0.55,,,,,,
红柚木磨砂,昊润HTS5037,0.7 ,1.0 ,,,,,,,吉荣H16052,7,9,,,,,,,,,,,,,,,
